Geburtstag;Geschlecht;PLZ;Matrikelnummer;Studiengang
01.01.2000;m;70191;884655;Mathe
23.05.2001;w;70191;211365;Informatik
20.07.2001;m;70180;663542;Informatik
03.03.2002;w;70180;872543;Physik
01.11.2002;m;70199;238843;Physik
12.11.2000;m;70191;992836;Mathe
08.09.2000;m;70180;980034;Informatik
13.11.2001;w;70191;565632;Informatik
12.12.2000;w;70180;567334;Mathe
12.08.2001;m;70180;213908;Physik
19.08.2000;w;70191;463712;Mathe
19.07.2002;m;70199;295574;Physik
05.03.2001;m;70199;299485;Mathe
22.04.2001;w;70191;285549;Informatik
10.06.2000;m;70180;295547;Mathe
